&c	&c	&c	&c	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-237	+39	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	-39	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-118	+39	+0	+0	
-197	+0	+0	+39	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+39	
-197	+39	+0	+0	
-158	+0	+0	+0	
-276	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-237	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	-39	+0	
-158	+0	+0	+0	
-197	+39	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+0	
-158	+0	+0	+0	
-237	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	-39	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+0	+39	+39	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+39	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-237	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	-39	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+39	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-237	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-118	+39	+0	+39	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-79	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-197	+39	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+39	
-197	+0	-39	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	-39	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-237	+0	+0	+39	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-237	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-158	+39	+0	+39	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	-39	+39	
-158	+39	+0	+0	
-197	+39	+0	+39	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-237	+0	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-197	+0	+39	+39	
-118	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	-39	+0	
-158	+0	+0	+39	
-158	+39	+0	+39	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+39	+0	+0	
-158	+0	+0	+39	
-197	+39	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-237	+39	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	-39	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-158	+39	+0	+0	
-237	+39	+0	+39	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-118	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+39	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-118	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	-39	+0	
-197	+0	+0	+0	
-158	+39	+0	+39	
-197	+0	+0	+0	
-237	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	-39	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+39	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+39	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+39	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-237	+0	+0	+39	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-276	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	-39	+39	
-197	+39	+0	+0	
-197	+39	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-237	+0	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	-39	+0	
-197	+39	+0	+0	
-158	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-158	+39	+0	+0	
-237	+39	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-197	+39	+0	+0	
-158	+39	+0	+39	
-197	+0	+0	+0	
-158	+39	+0	+0	
-237	+39	+0	+39	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+39	
-197	+39	+0	+0	
-237	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	-39	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-158	+39	+0	+0	
-158	+39	+0	+39	
-158	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+39	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-158	+0	+0	+39	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-158	+0	+0	+39	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-276	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-276	+0	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-79	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+39	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	-39	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-118	+39	+0	+39	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-316	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-237	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+39	
-197	+0	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-118	+39	-39	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+39	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+39	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	-39	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+39	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+39	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	-39	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-316	+0	+0	+0	
-197	+39	-39	+0	
-158	+0	+0	+0	
-237	+39	+0	+0	
-197	+0	-39	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-276	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+39	
-158	+39	+0	+0	
-197	+0	+0	+0	
-276	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-118	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-237	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	-39	+0	
-237	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-79	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	-39	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-158	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+39	
-197	+0	+0	+0	
-197	+39	+0	+0	
-158	+39	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+39	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-158	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-118	+0	+0	+0	
-197	+39	+0	+0	
-197	+39	+0	+0	
-118	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-158	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+0	+0	+0	
-197	+39	+0	+0	
-197	+0	+0	+0	
-237	+0	+0	+0	
-197	+0	+0	+0	
-158	+0	-39	+0	
-276	+0	+0	+0	
-158	+39	+0	+39	
